Index,Label,X,Y,Feret,FeretAngle
387,mela_083_fov-01.tiff:0387-0230,279.728,423.64,23.195,7.431
330,mela_083_fov-01.tiff:0330-0193,320.175,460.825,19.235,8.973
68,mela_083_fov-01.tiff:0068-0042,1198.965,612.407,18.248,9.462
182,mela_083_fov-01.tiff:0182-0106,952.868,548.211,15.297,11.31
211,mela_083_fov-01.tiff:0211-0124,354.144,529.167,15.297,11.31
287,mela_083_fov-01.tiff:0287-0165,314.75,489.115,20.396,11.31
710,mela_083_fov-01.tiff:0710-0562,320.955,91.47,14.318,12.095
449,mela_083_fov-01.tiff:0449-0280,365.547,374.035,18.439,12.529
228,mela_083_fov-01.tiff:0228-0130,964.705,523.977,17.464,13.241
730,mela_083_fov-01.tiff:0730-0586,347.907,68.074,17.464,13.241
544,mela_083_fov-01.tiff:0544-0393,300.071,260.214,12.369,14.036
16,mela_083_fov-01.tiff:0016-0013,587.288,641.076,15.524,14.931
348,mela_083_fov-01.tiff:0348-0205,763.587,448.326,11.402,15.255
720,mela_083_fov-01.tiff:0720-0574,324.591,80.409,14.56,15.945
292,mela_083_fov-01.tiff:0292-0167,918.857,486.31,17.72,16.39
21,mela_083_fov-01.tiff:0021-0015,427.077,639.192,10.44,16.699
306,mela_083_fov-01.tiff:0306-0178,715.804,475.63,10.44,16.699
340,mela_083_fov-01.tiff:0340-0200,822.1,453.46,10.44,16.699
431,mela_083_fov-01.tiff:0431-0265,307.929,388.643,10.44,16.699
189,mela_083_fov-01.tiff:0189-0109,769.727,545.205,15.811,18.435
355,mela_083_fov-01.tiff:0355-0211,355.475,443.15,15.811,18.435
397,mela_083_fov-01.tiff:0397-0237,334.7,417.2,12.649,18.435
462,mela_083_fov-01.tiff:0462-0294,445.328,359.672,12.649,18.435
503,mela_083_fov-01.tiff:0503-0347,207.857,307.143,12.649,18.435
615,mela_083_fov-01.tiff:0615-0462,409.708,191.458,9.487,18.435
349,mela_083_fov-01.tiff:0349-0206,893.75,447.875,14.866,19.654
54,mela_083_fov-01.tiff:0054-0035,937.591,618.864,11.705,19.983
103,mela_083_fov-01.tiff:0103-0060,399.5,593.682,11.705,19.983
214,mela_083_fov-01.tiff:0214-0124,610.778,529.722,8.544,20.556
428,mela_083_fov-01.tiff:0428-0261,916.111,392.389,8.544,20.556
470,mela_083_fov-01.tiff:0470-0305,337.605,348.763,8.544,20.556
375,mela_083_fov-01.tiff:0375-0223,708.565,430.274,13.928,21.038
386,mela_083_fov-01.tiff:0386-0231,317.083,422.875,18.385,22.38
144,mela_083_fov-01.tiff:0144-0086,1204,567.333,13,22.62
368,mela_083_fov-01.tiff:0368-0218,315.7,435.6,13,22.62
239,mela_083_fov-01.tiff:0239-0135,588.312,518.688,7.616,23.199
680,mela_083_fov-01.tiff:0680-0528,297.167,125.833,15.232,23.199
507,mela_083_fov-01.tiff:0507-0351,137.189,302.278,17.464,23.629
52,mela_083_fov-01.tiff:0052-0034,1236.108,619.775,19.698,23.962
577,mela_083_fov-01.tiff:0577-0425,257.58,228.74,9.849,23.962
135,mela_083_fov-01.tiff:0135-0079,763.378,574.255,21.932,24.228
464,mela_083_fov-01.tiff:0464-0295,374.462,358.538,12.083,24.444
358,mela_083_fov-01.tiff:0358-0212,305.559,441.941,14.318,24.775
188,mela_083_fov-01.tiff:0188-0108,998.278,545.544,16.553,25.017
320,mela_083_fov-01.tiff:0320-0187,822.987,466.91,16.553,25.017
34,mela_083_fov-01.tiff:0034-0024,632.538,629.962,11.18,26.565
57,mela_083_fov-01.tiff:0057-0038,603.887,616.081,13.416,26.565
65,mela_083_fov-01.tiff:0065-0040,418.929,613.679,11.18,26.565
121,mela_083_fov-01.tiff:0121-0073,618.019,580.87,11.18,26.565
223,mela_083_fov-01.tiff:0223-0128,435.093,525.278,11.18,26.565
337,mela_083_fov-01.tiff:0337-0197,368.685,456.648,11.18,26.565
361,mela_083_fov-01.tiff:0361-0211,951,442.5,6.708,26.565
389,mela_083_fov-01.tiff:0389-0233,697.767,421,13.416,26.565
432,mela_083_fov-01.tiff:0432-0268,354.396,385.104,20.125,26.565
651,mela_083_fov-01.tiff:0651-0503,161.846,150.654,11.18,26.565
283,mela_083_fov-01.tiff:0283-0163,288.329,490.586,14.765,28.301
477,mela_083_fov-01.tiff:0477-0317,206.43,336.872,14.765,28.301
524,mela_083_fov-01.tiff:0524-0368,432.885,285.423,14.765,28.301
76,mela_083_fov-01.tiff:0076-0049,389.53,605.167,12.53,28.61
335,mela_083_fov-01.tiff:0335-0196,634.455,457.545,10.296,29.055
420,mela_083_fov-01.tiff:0420-0256,931.457,397.717,10.296,29.055
439,mela_083_fov-01.tiff:0439-0271,257.792,382.208,10.296,29.055
243,mela_083_fov-01.tiff:0243-0142,964.765,512.153,18.358,29.358
341,mela_083_fov-01.tiff:0341-0203,864.593,451.686,16.125,29.745
468,mela_083_fov-01.tiff:0468-0308,450.462,345.385,21.954,30.069
676,mela_083_fov-01.tiff:0676-0527,243.548,126.21,21.954,30.069
206,mela_083_fov-01.tiff:0206-0121,926.071,532.571,13.892,30.256
164,mela_083_fov-01.tiff:0164-0094,625.952,560.339,11.662,30.964
255,mela_083_fov-01.tiff:0255-0145,592.66,509.3,11.662,30.964
314,mela_083_fov-01.tiff:0314-0184,919.614,470.1,15.264,31.608
536,mela_083_fov-01.tiff:0536-0387,277.658,266.842,15.264,31.608
370,mela_083_fov-01.tiff:0370-0218,931.091,435.409,9.434,32.005
459,mela_083_fov-01.tiff:0459-0297,196.542,357.458,18.868,32.005
465,mela_083_fov-01.tiff:0465-0296,211.738,357.595,9.434,32.005
246,mela_083_fov-01.tiff:0246-0142,935.014,512.311,13.038,32.471
399,mela_083_fov-01.tiff:0399-0240,964.016,414.113,13.038,32.471
739,mela_083_fov-01.tiff:0739-0604,373.573,49.646,16.643,32.735
81,mela_083_fov-01.tiff:0081-0050,1105.211,604.421,14.422,33.69
194,mela_083_fov-01.tiff:0194-0112,482.7,541.7,10.817,33.69
282,mela_083_fov-01.tiff:0282-0162,858.855,491.371,10.817,33.69
363,mela_083_fov-01.tiff:0363-0216,726.5,438.25,10.817,33.69
447,mela_083_fov-01.tiff:0447-0281,246.333,373.25,10.817,33.69
452,mela_083_fov-01.tiff:0452-0283,273.5,370.94,10.817,33.69
453,mela_083_fov-01.tiff:0453-0286,196.341,367.977,18.028,33.69
473,mela_083_fov-01.tiff:0473-0313,250.203,340.986,14.422,33.69
557,mela_083_fov-01.tiff:0557-0406,312.14,248.22,10.817,33.69
673,mela_083_fov-01.tiff:0673-0527,371.613,125.599,21.633,33.69
757,mela_083_fov-01.tiff:0757-0635,116.577,18.923,10.817,33.69
285,mela_083_fov-01.tiff:0285-0164,713.628,489.423,15.811,34.695
494,mela_083_fov-01.tiff:0494-0341,175.273,312.341,15.811,34.695
326,mela_083_fov-01.tiff:0326-0194,754,459.821,12.207,34.992
385,mela_083_fov-01.tiff:0385-0233,205.325,420.95,17.205,35.538
415,mela_083_fov-01.tiff:0415-0254,271.55,399.45,8.602,35.538
483,mela_083_fov-01.tiff:0483-0323,268.45,330.55,8.602,35.538
509,mela_083_fov-01.tiff:0509-0355,149.611,298.333,8.602,35.538
547,mela_083_fov-01.tiff:0547-0397,131.35,256.65,8.602,35.538
38,mela_083_fov-01.tiff:0038-0027,1075.529,627.443,13.601,36.027
113,mela_083_fov-01.tiff:0113-0070,783.585,583.989,13.601,36.027
277,mela_083_fov-01.tiff:0277-0161,758.471,493.765,13.601,36.027
458,mela_083_fov-01.tiff:0458-0294,349.781,359.781,13.601,36.027
484,mela_083_fov-01.tiff:0484-0327,236.843,326.986,13.601,36.027
514,mela_083_fov-01.tiff:0514-0359,332.773,295.227,13.601,36.027
48,mela_083_fov-01.tiff:0048-0033,624.75,621.25,10,36.87
175,mela_083_fov-01.tiff:0175-0103,484.775,550.2,15,36.87
207,mela_083_fov-01.tiff:0207-0122,539,532,10,36.87
225,mela_083_fov-01.tiff:0225-0129,987.879,524.638,10,36.87
345,mela_083_fov-01.tiff:0345-0206,678.048,447.262,15,36.87
427,mela_083_fov-01.tiff:0427-0262,188.978,392.196,10,36.87
430,mela_083_fov-01.tiff:0430-0266,275.78,388.34,10,36.87
476,mela_083_fov-01.tiff:0476-0315,346.232,339.071,10,36.87
405,mela_083_fov-01.tiff:0405-0247,894.446,407.095,16.401,37.569
410,mela_083_fov-01.tiff:0410-0250,217.256,404.451,16.401,37.569
701,mela_083_fov-01.tiff:0701-0553,447.782,101.372,16.401,37.569
92,mela_083_fov-01.tiff:0092-0054,1243.948,599.466,11.402,37.875
151,mela_083_fov-01.tiff:0151-0093,488.13,560.37,17.804,38.157
8,mela_083_fov-01.tiff:0008-0011,888.044,643.088,19.209,38.66
11,mela_083_fov-01.tiff:0011-0008,943.567,645.9,6.403,38.66
33,mela_083_fov-01.tiff:0033-0026,564.158,628.263,12.806,38.66
35,mela_083_fov-01.tiff:0035-0028,678.5,626.441,19.209,38.66
86,mela_083_fov-01.tiff:0086-0049,896.5,605,6.403,38.66
201,mela_083_fov-01.tiff:0201-0116,851.5,538.115,6.403,38.66
274,mela_083_fov-01.tiff:0274-0160,937,494,12.806,38.66
295,mela_083_fov-01.tiff:0295-0172,565.107,481.964,12.806,38.66
480,mela_083_fov-01.tiff:0480-0324,356.688,330.312,12.806,38.66
505,mela_083_fov-01.tiff:0505-0350,473.924,304.227,12.806,38.66
573,mela_083_fov-01.tiff:0573-0421,309.61,232.621,12.806,38.66
652,mela_083_fov-01.tiff:0652-0505,434.567,148.567,12.806,38.66
37,mela_083_fov-01.tiff:0037-0026,1235.912,627.059,14.213,39.289
296,mela_083_fov-01.tiff:0296-0172,980.711,481.316,14.213,39.289
510,mela_083_fov-01.tiff:0510-0357,244,296.975,14.213,39.289
32,mela_083_fov-01.tiff:0032-0023,589.667,630.833,7.81,39.806
126,mela_083_fov-01.tiff:0126-0074,1207.9,580.2,7.81,39.806
298,mela_083_fov-01.tiff:0298-0172,955,481.5,7.81,39.806
463,mela_083_fov-01.tiff:0463-0295,274.889,358.611,7.81,39.806
523,mela_083_fov-01.tiff:0523-0370,342.603,284.346,15.62,39.806
412,mela_083_fov-01.tiff:0412-0252,823.89,401.061,17.029,40.236
469,mela_083_fov-01.tiff:0469-0309,141.744,344.207,17.029,40.236
493,mela_083_fov-01.tiff:0493-0341,342.329,312.524,17.029,40.236
22,mela_083_fov-01.tiff:0022-0017,943.881,636.738,9.22,40.601
84,mela_083_fov-01.tiff:0084-0054,786.322,600.199,18.439,40.601
338,mela_083_fov-01.tiff:0338-0200,642.55,453.7,9.22,40.601
344,mela_083_fov-01.tiff:0344-0205,657.5,449.237,9.22,40.601
446,mela_083_fov-01.tiff:0446-0277,294.5,377,9.22,40.601
550,mela_083_fov-01.tiff:0550-0401,253.682,252.455,9.22,40.601
722,mela_083_fov-01.tiff:0722-0576,412.409,78.091,9.22,40.601
518,mela_083_fov-01.tiff:0518-0368,291.054,285.679,19.849,40.914
532,mela_083_fov-01.tiff:0532-0384,195.085,269.934,19.849,40.914
82,mela_083_fov-01.tiff:0082-0050,606.077,603.423,10.63,41.186
143,mela_083_fov-01.tiff:0143-0085,583.9,568.62,10.63,41.186
158,mela_083_fov-01.tiff:0158-0093,581.759,560.796,10.63,41.186
208,mela_083_fov-01.tiff:0208-0122,811.78,531.54,10.63,41.186
403,mela_083_fov-01.tiff:0403-0245,720.7,408.74,10.63,41.186
526,mela_083_fov-01.tiff:0526-0369,269,284.5,10.63,41.186
26,mela_083_fov-01.tiff:0026-0020,1208.367,634.133,12.042,41.634
120,mela_083_fov-01.tiff:0120-0075,589.661,579.21,12.042,41.634
302,mela_083_fov-01.tiff:0302-0179,865.389,475.352,12.042,41.634
413,mela_083_fov-01.tiff:0413-0252,707.607,402.214,12.042,41.634
500,mela_083_fov-01.tiff:0500-0346,314.776,307.914,12.042,41.634
703,mela_083_fov-01.tiff:0703-0558,16.315,95.907,12.042,41.634
30,mela_083_fov-01.tiff:0030-0024,485.894,629.803,13.454,41.987
112,mela_083_fov-01.tiff:0112-0069,897.311,584.392,13.454,41.987
141,mela_083_fov-01.tiff:0141-0085,606.864,568.682,13.454,41.987
229,mela_083_fov-01.tiff:0229-0134,541.845,519.845,13.454,41.987
317,mela_083_fov-01.tiff:0317-0187,887.688,466.844,13.454,41.987
457,mela_083_fov-01.tiff:0457-0293,243.812,360.688,13.454,41.987
740,mela_083_fov-01.tiff:0740-0606,412.75,46.5,13.454,41.987
407,mela_083_fov-01.tiff:0407-0249,196.559,404.765,14.866,42.274
490,mela_083_fov-01.tiff:0490-0335,247,318.553,14.866,42.274
245,mela_083_fov-01.tiff:0245-0144,694.517,511.293,16.279,42.51
521,mela_083_fov-01.tiff:0521-0369,401,284.5,16.279,42.51
587,mela_083_fov-01.tiff:0587-0438,238.151,215.849,16.279,42.51
250,mela_083_fov-01.tiff:0250-0146,1003.325,508.412,17.692,42.709
485,mela_083_fov-01.tiff:0485-0330,377.636,323.955,17.692,42.709
579,mela_083_fov-01.tiff:0579-0431,78.326,222.217,19.105,42.879
342,mela_083_fov-01.tiff:0342-0206,916.129,449.145,20.518,43.025
18,mela_083_fov-01.tiff:0018-0018,913.68,635.48,18.385,45
20,mela_083_fov-01.tiff:0020-0016,1239.259,637.879,12.728,45
27,mela_083_fov-01.tiff:0027-0023,547.464,630.75,12.728,45
63,mela_083_fov-01.tiff:0063-0041,783.714,613.429,11.314,45
91,mela_083_fov-01.tiff:0091-0055,748.136,598.894,12.728,45
99,mela_083_fov-01.tiff:0099-0061,692.412,592.765,14.142,45
100,mela_083_fov-01.tiff:0100-0063,1087.024,590.373,21.213,45
104,mela_083_fov-01.tiff:0104-0061,1229.214,592.929,8.485,45
114,mela_083_fov-01.tiff:0114-0070,1245.25,582.844,12.728,45
130,mela_083_fov-01.tiff:0130-0076,1223.933,578.267,11.314,45
139,mela_083_fov-01.tiff:0139-0082,485.2,571.8,8.485,45
146,mela_083_fov-01.tiff:0146-0091,613.773,563.379,14.142,45
168,mela_083_fov-01.tiff:0168-0099,1149.088,554.574,15.556,45
180,mela_083_fov-01.tiff:0180-0105,603.812,548.188,7.071,45
240,mela_083_fov-01.tiff:0240-0139,1241.425,514.375,15.556,45
242,mela_083_fov-01.tiff:0242-0141,753.273,512.545,9.899,45
257,mela_083_fov-01.tiff:0257-0148,803,506,11.314,45
258,mela_083_fov-01.tiff:0258-0149,597.962,505.115,11.314,45
286,mela_083_fov-01.tiff:0286-0165,949.659,488.523,15.556,45
291,mela_083_fov-01.tiff:0291-0171,831.378,483.378,16.971,45
299,mela_083_fov-01.tiff:0299-0179,617.474,474.577,15.556,45
308,mela_083_fov-01.tiff:0308-0181,938.064,472.346,12.728,45
367,mela_083_fov-01.tiff:0367-0219,862.6,435.467,11.314,45
380,mela_083_fov-01.tiff:0380-0230,817.048,424.024,16.971,45
394,mela_083_fov-01.tiff:0394-0237,639.5,416.5,12.728,45
401,mela_083_fov-01.tiff:0401-0244,646.769,410.308,11.314,45
416,mela_083_fov-01.tiff:0416-0256,287.136,397.894,12.728,45
417,mela_083_fov-01.tiff:0417-0256,693.409,397.636,9.899,45
442,mela_083_fov-01.tiff:0442-0273,336.605,381.5,8.485,45
445,mela_083_fov-01.tiff:0445-0278,267.093,376.019,11.314,45
450,mela_083_fov-01.tiff:0450-0283,304.281,370.719,12.728,45
460,mela_083_fov-01.tiff:0460-0296,315.259,357.741,11.314,45
496,mela_083_fov-01.tiff:0496-0341,401.567,312.733,12.728,45
535,mela_083_fov-01.tiff:0535-0387,233.621,266.864,12.728,45
575,mela_083_fov-01.tiff:0575-0423,283.278,230.796,11.314,45
606,mela_083_fov-01.tiff:0606-0457,266.134,196.939,16.971,45
607,mela_083_fov-01.tiff:0607-0453,313.312,200.688,7.071,45
610,mela_083_fov-01.tiff:0610-0460,328.182,193.818,16.971,45
661,mela_083_fov-01.tiff:0661-0516,27.076,138.258,14.142,45
663,mela_083_fov-01.tiff:0663-0515,413.18,138.58,11.314,45
670,mela_083_fov-01.tiff:0670-0519,417.921,135.184,8.485,45
